,zipcode,complaints,percent of total
49,60649,1208,0.07342126056038413
22,60619,1011,0.061447760286877776
38,60637,794,0.048258676229259105
23,60620,667,0.04053971920014587
45,60644,643,0.039081018659211084
26,60623,576,0.035008812982434814
18,60615,533,0.03239530784659333
24,60621,523,0.03178751595453717
30,60628,514,0.031240503251686622
31,60629,513,0.031179724062481005
41,60640,507,0.03081504892724731
52,60653,500,0.030389594602807997
27,60624,460,0.027958427034583358
20,60617,440,0.02674284325047104
29,60626,428,0.026013492980003647
58,60660,425,0.0258311554123868
37,60636,360,0.021880508114021757
50,60651,356,0.021637391357199293
42,60641,351,0.021333495411171216
12,60609,324,0.019692457302619582
40,60639,323,0.019631678113413965
28,60625,316,0.019206223788974654
48,60647,303,0.018416094329301646
19,60616,294,0.017869081626451105
56,60657,281,0.017078952166778096
21,60618,255,0.01549869324743208
15,60612,236,0.014343888652525375
16,60613,224,0.013614538382057983
17,60614,221,0.013432200814441136
11,60608,217,0.013189084057618672
13,60610,209,0.012702850543973743
46,60645,205,0.012459733787151279
34,60632,201,0.012216617030328815
25,60622,188,0.011426487570655808
57,60659,175,0.0106363581109828
44,60643,171,0.010393241354160336
32,60630,153,0.009299215948459248
36,60634,130,0.00790129459673008
14,60611,130,0.00790129459673008
8,60605,119,0.007232723515468303
10,60607,97,0.005895581352944752
51,60652,81,0.0049231143256548955
39,60638,58,0.0035251929739257277
55,60656,50,0.0030389594602808
43,60642,49,0.002978180271075184
61,60827,44,0.0026742843250471037
53,60654,42,0.0025527259466358717
4,60601,34,0.002066492432990944
60,60707,33,0.002005713243785328
54,60655,24,0.001458700540934784
47,60646,22,0.0013371421625235518
33,60631,22,0.0013371421625235518
5,60602,18,0.001094025405701088
59,60661,17,0.001033246216495472
35,60633,14,0.000850908648878624
6,60603,12,0.000729350270467392
9,60606,6,0.000364675135233696
7,60604,4,0.000243116756822464
1,60153,1,6.0779189205616e-05
3,60477,1,6.0779189205616e-05
2,60302,1,6.0779189205616e-05
0,10758,1,6.0779189205616e-05
